processed_image,processed_label,raw_spacing,resampled_shape,cropped_coordinates,final_shape
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0002.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0002.npy,"(0.720703125, 0.720703125, 3.0)","(85, 240, 356)","[54, 139, 151, 404, 72, 447]","(85, 253, 375)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0079.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0079.npy,"(0.9765625, 0.9765625, 5.0)","(95, 305, 447)","[30, 87, 159, 396, 82, 430]","(57, 237, 348)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0071.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0071.npy,"(0.880859375, 0.880859375, 5.0)","(110, 300, 425)","[44, 110, 141, 400, 78, 445]","(66, 259, 367)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0065.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0065.npy,"(0.73046875, 0.73046875, 3.0)","(88, 253, 374)","[64, 152, 118, 381, 64, 453]","(88, 263, 389)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0031.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0031.npy,"(0.837890625, 0.837890625, 3.0)","(93, 281, 437)","[0, 93, 103, 358, 53, 449]","(93, 255, 396)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0076.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0076.npy,"(0.78125, 0.78125, 3.0)","(108, 273, 429)","[5, 113, 78, 344, 32, 449]","(108, 266, 417)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0005.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0005.npy,"(0.90625, 0.90625, 3.0)","(104, 361, 490)","[13, 117, 124, 427, 32, 443]","(104, 303, 411)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0028.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0028.npy,"(0.796875, 0.796875, 5.0)","(105, 319, 393)","[26, 89, 83, 387, 62, 437]","(63, 304, 375)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0004.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0004.npy,"(0.59375, 0.59375, 3.0)","(79, 195, 326)","[61, 140, 111, 360, 54, 471]","(79, 249, 417)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0029.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0029.npy,"(0.875, 0.875, 3.0)","(92, 282, 376)","[8, 100, 117, 362, 82, 409]","(92, 245, 327)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0073.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0073.npy,"(0.544921875, 0.544921875, 3.0)","(82, 220, 341)","[48, 130, 106, 413, 11, 486]","(82, 307, 475)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0006.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0006.npy,"(0.701171875, 0.701171875, 3.0)","(74, 213, 366)","[57, 131, 58, 289, 61, 458]","(74, 231, 397)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0023.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0023.npy,"(0.70703125, 0.70703125, 5.0)","(102, 328, 424)","[35, 96, 119, 472, 16, 472]","(61, 353, 456)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0009.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0009.npy,"(0.9765620231628418, 0.9765620231628418, 2.5)","(117, 380, 469)","[9, 149, 101, 397, 86, 451]","(140, 296, 365)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0003.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0003.npy,"(0.8984375, 0.8984375, 3.0)","(118, 332, 462)","[80, 198, 95, 376, 65, 456]","(118, 281, 391)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0068.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0068.npy,"(0.703125, 0.703125, 5.0)","(97, 278, 412)","[28, 86, 102, 402, 26, 471]","(58, 300, 445)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0008.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0008.npy,"(0.728515625, 0.728515625, 3.0)","(82, 249, 392)","[66, 148, 158, 418, 51, 460]","(82, 260, 409)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0067.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0067.npy,"(0.8359375, 0.8359375, 3.0)","(115, 329, 471)","[58, 173, 109, 408, 40, 468]","(115, 299, 428)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0040.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0040.npy,"(0.7421875, 0.7421875, 3.0)","(132, 260, 399)","[58, 190, 116, 382, 50, 459]","(132, 266, 409)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0062.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0062.npy,"(0.9459999799728394, 0.9459999799728394, 5.0)","(105, 294, 385)","[27, 90, 142, 378, 93, 402]","(63, 236, 309)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0027.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0027.npy,"(0.7753909826278687, 0.7753909826278687, 5.0)","(98, 309, 457)","[29, 88, 140, 443, 25, 473]","(59, 303, 448)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0030.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0030.npy,"(0.7421875, 0.7421875, 3.0)","(85, 272, 429)","[68, 153, 108, 387, 35, 474]","(85, 279, 439)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0034.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0034.npy,"(0.671875, 0.671875, 5.0)","(105, 317, 416)","[35, 98, 129, 488, 39, 510]","(63, 359, 471)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0038.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0038.npy,"(0.9765620231628418, 0.9765620231628418, 5.0)","(115, 365, 475)","[31, 100, 134, 418, 75, 445]","(69, 284, 370)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0039.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0039.npy,"(0.9760000109672546, 0.9760000109672546, 5.0)","(90, 283, 438)","[36, 90, 150, 370, 92, 433]","(54, 220, 341)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0077.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0077.npy,"(0.78515625, 0.78515625, 3.0)","(94, 269, 398)","[57, 151, 148, 408, 64, 449]","(94, 260, 385)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0064.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0064.npy,"(0.77734375, 0.77734375, 3.0)","(159, 303, 425)","[0, 159, 124, 420, 45, 461]","(159, 296, 416)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0025.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0025.npy,"(0.83203125, 0.83203125, 5.0)","(98, 348, 430)","[26, 85, 135, 453, 50, 443]","(59, 318, 393)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0078.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0078.npy,"(0.8652340173721313, 0.8652340173721313, 5.0)","(88, 269, 400)","[36, 89, 124, 360, 82, 433]","(53, 236, 351)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0022.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0022.npy,"(0.7675780057907104, 0.7675780057907104, 5.0)","(97, 296, 406)","[31, 89, 161, 454, 40, 442]","(58, 293, 402)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0070.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0070.npy,"(0.728515625, 0.728515625, 3.0)","(73, 251, 362)","[47, 120, 156, 418, 77, 455]","(73, 262, 378)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0061.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0061.npy,"(0.68359375, 0.68359375, 3.0)","(82, 242, 342)","[56, 138, 141, 410, 69, 449]","(82, 269, 380)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0026.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0026.npy,"(0.7792969942092896, 0.7792969942092896, 5.0)","(160, 293, 412)","[35, 131, 142, 428, 65, 467]","(96, 286, 402)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0037.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0037.npy,"(0.703125, 0.703125, 5.0)","(95, 281, 418)","[42, 99, 122, 426, 19, 471]","(57, 304, 452)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0032.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0032.npy,"(0.740234375, 0.740234375, 3.0)","(85, 282, 382)","[59, 144, 123, 413, 55, 447]","(85, 290, 392)"
/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/img/img0010.npy,/home/hja/Projects/OrgansSegment/SegWithPatch/samples/BTCV/Training/label/label0010.npy,"(0.78125, 0.78125, 3.0)","(96, 290, 414)","[52, 148, 103, 385, 48, 451]","(96, 282, 403)"
